BEN_IAT_CAT;IAT_CAT_LIB;TEC_COL
01;VICTIME;0
02;CONJOINTS SURVIVANTS (POLYGAME);0
03;CONJOINTS SURVIVANTS (POLYGAME);0
04;CONJOINTS SURVIVANTS (POLYGAME);0
05;CONJOINTS SURVIVANTS (POLYGAME);0
06;CONJOINTS SURVIVANTS (POLYGAME);0
07;CONJOINTS SURVIVANTS (POLYGAME);0
08;CONJOINTS SURVIVANTS (POLYGAME);0
09;CONJOINTS SURVIVANTS (POLYGAME);0
11;ENFANTS ET PETITS ENFANTS;0
12;ENFANTS ET PETITS ENFANTS;0
13;ENFANTS ET PETITS ENFANTS;0
14;ENFANTS ET PETITS ENFANTS;0
15;ENFANTS ET PETITS ENFANTS;0
16;ENFANTS ET PETITS ENFANTS;0
17;ENFANTS ET PETITS ENFANTS;0
18;ENFANTS ET PETITS ENFANTS;0
19;ENFANTS ET PETITS ENFANTS;0
20;ENFANTS ET PETITS ENFANTS;0
21;ENFANTS ET PETITS ENFANTS;0
22;ENFANTS ET PETITS ENFANTS;0
23;ENFANTS ET PETITS ENFANTS;0
24;ENFANTS ET PETITS ENFANTS;0
25;ENFANTS ET PETITS ENFANTS;0
26;ENFANTS ET PETITS ENFANTS;0
27;ENFANTS ET PETITS ENFANTS;0
28;ENFANTS ET PETITS ENFANTS;0
29;ENFANTS ET PETITS ENFANTS;0
31;ASCENDANTS;0
32;ASCENDANTS;0
33;ASCENDANTS;0
34;ASCENDANTS;0
60;EX-CONJOINTS (DIVORCES OU SEPARES);0
61;EX-CONJOINTS (DIVORCES OU SEPARES);0
62;EX-CONJOINTS (DIVORCES OU SEPARES);0
63;EX-CONJOINTS (DIVORCES OU SEPARES);0
64;EX-CONJOINTS (DIVORCES OU SEPARES);0
65;EX-CONJOINTS (DIVORCES OU SEPARES);0
66;EX-CONJOINTS (DIVORCES OU SEPARES);0
67;EX-CONJOINTS (DIVORCES OU SEPARES);0
68;EX-CONJOINTS (DIVORCES OU SEPARES);0
69;EX-CONJOINTS (DIVORCES OU SEPARES);0
70;CONJOINT (RENTE DE REVERSION);0
00;SANS OBJET;2
99;VALEUR INCONNUE;1
