CTI_NUM;LSM_COD;RSM_COD;TEC_COL
0;0;0;2
10;211;21;0
10;251;21;0
10;252;21;0
10;391;21;0
10;581;21;0
10;701;21;0
10;711;21;0
10;891;21;0
10;901;21;0
13;101;54;0
13;511;54;0
13;521;54;0
13;541;54;0
13;542;54;0
13;551;54;0
13;81;54;0
13;881;54;0
16;11;69;0
16;151;63;0
16;261;69;0
16;31;63;0
16;382;69;0
16;421;69;0
16;422;69;0
16;431;63;0
16;631;63;0
16;692;69;0
16;71;69;0
16;72;69;0
16;741;69;0
17;571;67;0
17;572;67;0
17;573;67;0
17;671;67;0
17;672;67;0
17;673;67;0
17;681;67;0
17;682;67;0
18;221;35;0
18;291;35;0
18;292;35;0
18;351;35;0
18;561;35;0
1;141;76;0
1;271;76;0
1;501;76;0
1;611;76;0
1;761;76;0
1;762;76;0
1;763;76;0
1;764;76;0
21;131;13;0
21;201;13;0
21;202;13;0
21;41;13;0
21;51;13;0
21;61;13;0
21;831;13;0
21;841;13;0
22;21;59;0
22;22;59;0
22;591;59;0
22;592;59;0
22;593;59;0
22;594;59;0
22;595;59;0
22;596;59;0
22;597;59;0
22;598;59;0
22;599;59;0
22;601;59;0
22;602;59;0
22;621;59;0
22;622;59;0
22;623;59;0
22;624;59;0
22;801;59;0
23;441;44;0
23;442;44;0
23;491;44;0
23;492;44;0
23;531;44;0
23;721;44;0
23;851;44;0
25;381;69;0
25;691;69;0
25;731;69;0
26;971;1;0
26;972;2;0
26;973;3;0
27;974;98;0
2;121;31;0
2;311;31;0
2;321;31;0
2;461;31;0
2;651;31;0
2;811;31;0
2;821;31;0
2;91;31;0
36;751;75;0
36;781;75;0
36;921;75;0
36;951;75;0
4;771;75;0
4;911;75;0
4;931;75;0
4;941;75;0
5;241;33;0
5;331;33;0
5;401;33;0
5;471;33;0
5;641;33;0
5;642;33;0
6;111;34;0
6;301;34;0
6;341;34;0
6;342;34;0
6;481;34;0
6;661;34;0
8;161;87;0
8;171;87;0
8;181;45;0
8;191;87;0
8;231;87;0
8;281;45;0
8;361;45;0
8;371;45;0
8;411;45;0
8;451;45;0
8;791;87;0
8;861;87;0
8;871;87;0
99;999;99;1
21;225;22;0
