URC_ARH_COD;URC_LIB;ARH_LIB;TEC_COL
1;GUADELOUPE;GUADELOUPE;0
2;MARTINIQUE;MARTINIQUE;0
3;GUYANE;GUYANE;0
4;REUNION;REUNION;0
6;CSS MAYOTTE;CSS MAYOTTE;0
11;ILE DE FRANCE;ILE DE FRANCE;0
21;CHAMPAGNE-ARDENNE;CHAMPAGNE-ARDENNE;0
22;PICARDIE;PICARDIE;0
23;HAUTE-NORMANDIE;HAUTE-NORMANDIE;0
24;CENTRE-VAL DE LOIRE;CENTRE-VAL DE LOIRE;0
25;BASSE-NORMANDIE;BASSE-NORMANDIE;0
26;BOURGOGNE;BOURGOGNE;0
31;NORD-PAS-DE-CALAIS;NORD-PAS-DE-CALAIS;0
41;LORRAINE;LORRAINE;0
42;ALSACE;ALSACE;0
43;FRANCHE-COMTE;FRANCHE-COMTE;0
52;PAYS-DE-LA-LOIRE;PAYS-DE-LA-LOIRE;0
53;BRETAGNE;BRETAGNE;0
54;POITOU-CHARENTES;POITOU-CHARENTES;0
72;AQUITAINE;AQUITAINE;0
73;MIDI-PYRENEES;MIDI-PYRENEES;0
74;LIMOUSIN;LIMOUSIN;0
82;RHONE-ALPES;RHONE-ALPES;0
83;AUVERGNE;AUVERGNE;0
91;LANGUEDOC-ROUSSILLON;LANGUEDOC-ROUSSILLON;0
93;PROVENCE-ALPES-COTE D  AZUR;PROVENCE-ALPES-COTE D AZUR;0
94;CORSE;CORSE;0
99;INCONNU;INCONNU;1
27;BOURGOGNE-FRANCHE-COMTE;BOURGOGNE-FRANCHE-COMTE;0
28;NORMANDIE;NORMANDIE;0
32;HAUTS-DE-FRANCE;HAUTS-DE-FRANCE;0
44;GRAND-EST;GRAND-EST;0
75;NOUVELLE AQUITAINE;NOUVELLE-AQUITAINE;0
76;OCCITANIE;OCCITANIE;0
84;AUVERGNE-RHONE-ALPES;AUVERGNE-RHONE-ALPES;0
