PAR_PRJ;PAR_COD;PAR_LIB;PAR_VAL;TEC_COL
DEOS;001;param_pra_pos_nat;'HTP';0
DEOS;002;param_ate_cod;'E';0
DEOS;003;param_pra_ges_cod;'1';0
DEOS;004;param_pra_ges_cod_2;'2';0
DEOS;005;param_pra_cat;'1';0
DEOS;006;param_pra_cat_1;'4';0
DEOS;007;param_pra_cat_2;'6';0
DEOS;008;param_pra_cat_3;'7';0
DEOS;009;param_pra_spe;('38');0
DEOS;010;param_ins_dpt_dom;'960';0
DEOS;011;param_pra_spe_2;('01','38');0
DEOS;012;param_cnv_cod;'0';0
DEOS;013;param_exc_nat;('01','02','03');0
DEOS;014;param_sum_hon_tot;1;0
DEOS;015;param_sex_fem;('2','8');0
DEOS;016;param_sex_hom;('1','7');0
DEOS;017;param_ape;'1';0
DEOS;018;param_population_annee;61538322;0
DEOS;019;param_cls_don;'6';0
DEOS;020;param_pra_spe_6;('19','36');0
DEOS;021;param_ate_cod_2;'C';0
DEOS;022;param_pra_spe_7;('01');0
DEOS;023;param_pra_pos_nat_2;('CTE','CMU');0
DEOS;024;param_pra_pos_nat_3;('CT1','CT2','CT3','CT4','CTN');0
DEOS;025;param_pra_spe_3;('01','09','10','11','18','45','31','37','42','73','71','38');0
DEOS;026;param_pra_spe_4;('30','39','40');0
DEOS;027;param_pra_spe_5;('01','09','10','11','18','45','31','37','42','73','71','38');0
DEOS;028;param_population_05;61044684;0
DEOS;029;param_population_06;61538322;0
DEOS;030;param_population_07;61875822;0
DEOS;031;param_population_08;61875822;0
DEOS;032;pra_spe_rg2_32;('totspe');0
DEOS;033;pra_spe_rg2_33;'totspe';0
DEOS;034;pra_spe_rg2_34;'autre';0
DEOS;035;pra_spe_rg1_35;('dent');0
DEOS;036;pra_spe_rg1_36;'dent';0
DEOS;037;pra_spe_rg1_37;'autre';0
DEOS;038;pra_spe_rg1_38;('inf');0
DEOS;039;pra_spe_rg1_39;'inf';0
DEOS;040;pra_spe_rg1_40;'autre';0
DEOS;041;aft_cod_41;'X';0
DEOS;042;pra_pos_nat_42;('AMI','AIS');0
DEOS;043;act_dnb_43;0;0
DEOS;044;pra_spe_rg1_44;'mk';0
DEOS;045;pra_spe_rg1_45;'mk';0
DEOS;046;pra_spe_rg1_46;'autre';0
DEOS;047;aft_cod_47;'X';0
DEOS;048;pra_pos_nat_48;('AMC','AMK','AMS');0
DEOS;049;act_dnb_49;0;0
DEOS;050;pct_50;0.15;0
DEOS;051;ald_51;0;0
DEOS;052;ald_52;1;0
DEOS;053;euros_53;1000;0
DEOS;054;spe_54;('43','44','46','47','48','49','04','10','16','41');0
DEOS;055;spe_55;'02';0
DEOS;056;spe_56;'03';0
DEOS;057;spe_57;('06','76','72','74');0
DEOS;058;spe_58;('30','39','40');0
DEOS;059;spe_59;('07','70','77');0
DEOS;060;spe_60;'13';0
DEOS;061;spe_61;'08';0
DEOS;062;spe_62;'32';0
DEOS;063;spe_63;'16';0
DEOS;064;spe_64;('12','78');0
DEOS;065;spe_65;'15';0
DEOS;066;spe_66;'14';0
DEOS;067;spe_67;'05';0
DEOS;068;spe_68;'35';0
DEOS;069;spe_69;('33','75','17');0
DEOS;070;spe_70;('19','36');0
DEOS;071;gpespe_71;'Achir';0
DEOS;072;gpespe_72;'Banes';0
DEOS;073;gpespe_73;'Ccardio';0
DEOS;074;gpespe_74;'Dradio';0
DEOS;075;gpespe_75;'Elabo';0
DEOS;076;gpespe_76;'Fgyneco';0
DEOS;077;gpespe_77;'Gpneumo';0
DEOS;078;gpespe_78;'Hgastro';0
DEOS;079;gpespe_79;'Ineuro';0
DEOS;080;gpespe_80;'Jped';0
DEOS;081;gpespe_81;'Luro';0
DEOS;082;gpespe_82;'Kopht';0
DEOS;083;gpespe_83;'Mrhuma';0
DEOS;084;gpespe_84;'Nderma';0
DEOS;085;gpespe_85;'Onephro';0
DEOS;086;gpespe_86;'Ppsy';0
DEOS;087;gpespe_87;'Qdent';0
DEOS;088;pct_88;0.10;0
DEOS;089;cat_89;'0';0
DEOS;090;cat_90;'1';0
DEOS;091;cat_91;'2';0
